temperature,rainfall,humidity,category,label
29.33945948,206.9845284,54.56548827,holti,Bawang Merah
29.18598873,212.0416079,52.32582023,holti,Bawang Merah
28.76815336,213.4242119,51.66671799,holti,Bawang Merah
28.75350447,200.2968838,53.44595235,holti,Bawang Merah
29.36307753,230.1952112,53.02731331,holti,Bawang Merah
29.07508029,203.8061528,54.57908817,holti,Bawang Merah
28.63061218,211.9136015,50.48793652,holti,Bawang Merah
28.73526428,205.5910429,51.25965377,holti,Bawang Merah
28.65428391,210.1595014,50.98602258,holti,Bawang Merah
29.89640189,210.3247722,53.34103674,holti,Bawang Merah
29.6105889,229.2111267,51.33785277,holti,Bawang Merah
29.31716343,229.2160234,51.6663586,holti,Bawang Merah
29.6635449,232.2364694,53.26152043,holti,Bawang Merah
29.21500444,206.2501773,54.8800454,holti,Bawang Merah
29.15573904,224.3836932,50.91761339,holti,Bawang Merah
29.22324435,214.1854935,53.6452667,holti,Bawang Merah
28.95552602,226.0985972,51.81218869,holti,Bawang Merah
28.76408135,226.1917971,53.02101679,holti,Bawang Merah
29.73966475,211.8643854,52.87334646,holti,Bawang Merah
29.79717372,228.5034365,54.53271349,holti,Bawang Merah
28.59107834,220.4459829,54.09405781,holti,Bawang Merah
29.51973592,223.1174492,50.85101818,holti,Bawang Merah
29.69587375,226.9572675,53.02443433,holti,Bawang Merah
28.58735894,214.4137957,53.5112635,holti,Bawang Merah
28.51365548,214.0978122,51.94071421,holti,Bawang Merah
29.66332177,205.2694428,53.83122273,holti,Bawang Merah
29.20912366,211.8686366,52.36474589,holti,Bawang Merah
28.03163212,216.7338057,50.83714653,holti,Bawang Merah
29.48611747,218.0082042,51.09225073,holti,Bawang Merah
28.45638234,209.2767083,51.49656862,holti,Bawang Merah
29.53878012,231.2388879,51.57800555,holti,Bawang Merah
29.48227682,204.967037,52.59185253,holti,Bawang Merah
29.71718653,215.5638811,53.01676411,holti,Bawang Merah
28.99163538,205.7985088,54.84253846,holti,Bawang Merah
28.80665539,216.9290787,54.1765039,holti,Bawang Merah
29.60081328,221.3433212,51.4051176,holti,Bawang Merah
29.37441138,223.057922,50.46461402,holti,Bawang Merah
29.4309659,219.786536,52.87748278,holti,Bawang Merah
29.63101893,203.131517,54.84357133,holti,Bawang Merah
29.32176809,209.2302818,50.93829809,holti,Bawang Merah
29.65641315,215.9574259,52.74037419,holti,Bawang Merah
28.86245607,218.5952818,52.85844331,holti,Bawang Merah
29.36512162,226.6525523,53.60982846,holti,Bawang Merah
29.2070194,203.3876142,51.88559147,holti,Bawang Merah
28.80033095,202.5328408,52.4683282,holti,Bawang Merah
28.54531936,210.8586114,50.73850431,holti,Bawang Merah
28.68368187,214.9221607,52.43368139,holti,Bawang Merah
29.11538507,205.1457827,50.38829869,holti,Bawang Merah
29.22029464,208.1060642,51.42229946,holti,Bawang Merah
29.21797356,207.653378,53.14886622,holti,Bawang Merah
28.84210391,210.0881157,51.64358813,holti,Bawang Merah
29.68618928,231.7524978,50.62821609,holti,Bawang Merah
29.82738585,201.6530351,50.14120703,holti,Bawang Merah
29.74417386,201.7171997,53.98742789,holti,Bawang Merah
29.05404337,216.7500365,52.64959485,holti,Bawang Merah
29.90624369,204.2928788,51.42176041,holti,Bawang Merah
29.20918765,228.0439097,54.30195825,holti,Bawang Merah
28.22407289,225.1313863,51.33606504,holti,Bawang Merah
29.44015873,201.9613882,51.3373474,holti,Bawang Merah
28.67640609,223.6876317,53.62149501,holti,Bawang Merah
28.13676463,222.5616109,50.14980256,holti,Bawang Merah
29.28733875,205.3805634,54.32467982,holti,Bawang Merah
28.25500984,203.5184262,53.60925835,holti,Bawang Merah
28.06631197,206.5249376,50.82329155,holti,Bawang Merah
28.09479615,213.192281,53.39966124,holti,Bawang Merah
